Group name,"Time cells counted (hh:mm, 24 hour clock)",Elapsed time,Large square 1,Sm. squares counted,Large square 2,Sm. squares counted,Large square 3,Sm. squares counted,Large square 4,Sm. squares counted,Large square 5,Sm. squares counted
JS + BK,8:30,0,30,16,35,16,35,16,37,16,42,16
JS + BK,9:38,68,114,16,72,16,64,16,97,16,54,16
JS + BK,10:56,146,132,16,137,16,141,16,152,16,139,16
JS + BK,11:32,182,130,16,148,16,126,16,162,16,185,16
JS + BK,12:18,228,138,16,137,16,148,16,139,16,135,16
JS + BK,13:38,308,210,16,216,16,232,16,249,16,270,16
JS + BK,14:49,379,289,16,327,16,361,16,327,16,334,16
JS + BK,15:37,427,178,8,218,8,245,8,249,8,274,8
JS + BK,16:30,480,157,4,161,4,101,4,144,4,127,4
JS + BK,18:13,583,160,4,119,4,166,4,149,4,142,4
JS + BK,19:00,630,190,4,180,4,135,4,154,4,188,4
JS + BK,19:50,680,360,4,380,4,310,4,403,4,360,4
ST + KV,8:45,0,39,16,21,16,8,16,35,16,19,16
ST + KV,9:45,60,101,16,5,16,48,16,38,16,60,16
ST + KV,10:45,120,125,16,40,16,62,16,52,16,62,16
ST + KV,11:45,180,149,16,123,16,104,16,118,16,136,16
ST + KV,12:45,240,79,16,131,16,85,16,91,16,128,16
ST + KV,13:45,300,192,16,143,16,153,16,151,16,155,16
ST + KV,14:45,360,224,16,203,16,238,16,185,16,204,16
ST + KV,15:45,420,207,16,295,16,212,16,11,16,265,16
ST + KV,16:45,480,329,16,444,16,207,16,379,16,410,16
ST + KV,17:45,540,281,8,441,8,410,8,311,8,450,8
ST + KV,18:45,600,258,4,352,4,200,4,315,4,309,4
ST + KV,19:45,660,158,2,201,2,192,2,154,2,250,2
JJ + TK,7:00,0,68,16,54,16,59,16,75,16,61,16
JJ + TK,8:00,60,71,16,73,16,71,16,146,16,80,16
JJ + TK,9:00,120,102,16,95,16,81,16,62,16,69,16
JJ + TK,10:00,180,101,16,109,16,90,16,100,16,122,16
JJ + TK,11:00,240,127,16,137,16,107,16,123,16,160,16
JJ + TK,12:00,300,183,16,187,16,167,16,230,16,227,16
JJ + TK,13:00,360,314,16,357,16,324,16,271,16,366,16
JJ + TK,14:00,420,521,16,484,16,528,16,535,16,425,16
JJ + TK,15:00,480,852,16,261,4,183,4,133,4,185,4
JJ + TK,16:00,540,276,4,232,4,253,4,183,4,259,4
JJ + TK,17:00,600,323,4,311,4,303,4,301,4,260,4
JJ + TK,18:00,660,411,4,425,4,386,4,392,4,391,4
MB&CB,8:45,0,94,16,109,16,88,16,103,16,88,16
MB&CB,9:50,65,67,16,67,16,77,16,72,16,54,16
MB&CB,10:50,125,132,16,259,16,101,16,202,16,123,16
MB&CB,12:10,205,147,16,167,16,208,16,188,16,207,16
MB&CB,13:10,265,396,16,446,16,880,16,464,16,712,16
MB&CB,14:10,325,444,16,460,16,608,16,482,16,460,16
MB&CB,15:05,380,503,16,709,16,677,16,478,16,634,16
MB&CB,16:00,435,661,16,783,16,711,16,537,16,640,16
MB&CB,17:00,495,318,4,234,4,239,4,259,4,246,4
MB&CB,18:15,570,289,4,257,4,233,4,270,4,233,4
MB&CB,19:00,615,289,4,227,4,215,4,195,4,192,4
MB&CB,20:00,675,159,4,154,4,163,4,140,4,145,4
GD & JP ,10:15,0,40,16,35,16,24,16,27,16,74,16
GD & JP ,11:15,60,100,16,41,16,51,16,73,16,40,16
GD & JP ,12:15,120,25,16,54,16,42,16,50,16,67,16
GD & JP ,13:15,180,83,16,131,16,61,16,81,16,129,16
GD & JP ,14:30,255,87,16,91,16,188,16,125,16,168,16
GD & JP ,15:15,300,170,16,113,16,109,16,350,16,188,16
GD & JP ,16:15,360,214,16,200,16,241,16,186,16,242,16
GD & JP ,17:15,420,303,16,274,16,325,16,265,16,355,16
GD & JP ,18:15,480,394,16,417,16,424,16,572,14,382,16
GD & JP ,19:15,540,364,11,390,14,616,9,491,16,360,11
GD & JP ,20:15,600,363,4,202,4,197,4,212,4,226,4
GD & JP ,21:15,660,272,4,322,4,316,4,314,4,307,4
MP & HN,7:00,0,51,16,48,16,48,16,49,16,37,16
MP & HN,8:00,60,57,16,65,16,50,16,64,16,55,16
MP & HN,9:00,120,65,16,56,16,65,16,67,16,69,16
MP & HN,10:00,180,64,16,71,16,79,16,90,16,86,16
MP & HN,11:00,240,67,16,60,16,93,16,113,16,70,16
MP & HN,12:00,300,152,16,162,16,103,16,102,16,105,16
MP & HN,13:00,360,543,16,629,16,608,16,556,16,610,16
MP & HN,14:00,420,1049,16,1288,16,1212,16,994,16,1032,16
MP & HN,15:00,480,536,4,598,4,562,4,622,4,521,4
MP & HN,16:00,540,326,2,292,2,300,2,308,2,347,2
MP & HN,17:00,600,204,1,214,1,194,1,214,1,201,1
MP & HN,18:00,660,271.125,1,253,1,306,1,244,1,284,1